"Cod birou electoral",Județ,Uat,Siruta,Localitate,Secție,Nr,Tip,Versiune,a,b,b1,b2,b3,c,d,e,f,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 28",167,"Alegeri Prezidentiale",1,1628,993,782,181,30,979,14,2000,1007,305,84,253,7,169,8,1,2,3,115,3,23,1,5
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 28",168,"Alegeri Prezidentiale",1,1166,942,604,175,163,926,16,1419,477,334,71,241,3,138,6,2,1,0,95,5,22,2,6
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 28",169,"Alegeri Prezidentiale",1,1352,1005,655,162,188,992,13,1600,595,293,85,230,5,213,4,1,5,2,119,7,16,2,10
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ ”MARIA ROSETTI”",170,"Alegeri Prezidentiale",1,1708,1057,917,138,2,1043,14,1800,743,358,96,281,4,146,5,5,2,2,115,9,16,2,2
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ ”MARIA ROSETTI”",171,"Alegeri Prezidentiale",1,922,592,492,100,0,585,7,1000,408,154,60,186,0,92,0,0,1,1,66,1,14,5,5
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ ”MARIA ROSETTI”",172,"Alegeri Prezidentiale",1,930,579,430,149,0,578,1,1000,421,198,56,157,0,84,1,2,1,2,60,1,7,5,4
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","LICEUL TEORETIC ”C.A. ROSETTI ”",173,"Alegeri Prezidentiale",1,1051,695,541,153,1,684,11,1200,505,227,69,154,3,119,3,5,2,2,70,3,15,7,5
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","LICEUL TEORETIC ”C.A. ROSETTI ”",174,"Alegeri Prezidentiale",1,1647,885,813,72,0,882,3,1796,911,295,77,259,1,125,1,5,2,1,70,5,26,10,5
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","LICEUL TEORETIC ”C.A. ROSETTI ”",175,"Alegeri Prezidentiale",1,1522,776,700,76,0,766,10,1800,1024,271,84,167,3,120,1,2,1,1,87,7,11,6,5
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","LICEUL TEORETIC ”TRAIAN”",176,"Alegeri Prezidentiale",1,1866,1042,920,121,1,1022,20,2200,1158,330,97,259,1,160,6,2,3,3,107,7,24,6,17
